CLAVE,NOMBRE
201,ECONOMIA INDUSTRIAL I
21,ASPECTOS LEGALES INDUSTRIALES
49,BIOQUIMICA III
129,CALCULO AVANZADO
137,CORROSION Y PROT. METALICA
149,CRISTALOGRAFIA Y DIFRACCION
163,DIRECCION DE EMPRESAS
203,ESPECTROSCOPIA APLICADA
209,ENOLOGIA
249,FENOMENOS DE TRANSPORTE
258,FISICA VI
259,FISICA VII
270,FISICOQUIMICA VIII
271,FISICOQUIMICA IX
325,INGENIERIA METALURGICA I
326,INGENIERIA METALURGICA II
327,INGENIERIA NUCLEAR
339,INSTRUMENTACION INDUSTRIAL
340,INVESTIGACION DE OPERACIONES I
341,INVEST.DE OPER.II
343,INGENIERIA INDUSTRIAL I
355,INGENIERIA AMBIENTAL I
356,INGENIERIA AMBIENTAL II
357,INGENIERIA DE FUNDICION
489,METALURGIA ADAPTATIVA II
491,METALURGIA EXTRACTIVA II
492,METALURGIA EXTRACTIVA III
501,MICROBIOLOGIA II
575,OPTIMIZACION
601,PAPEL Y CELULOSA II
606,POLIMEROS
609,PROCESOS PETROQUIMICOS
610,PRODUCTOS NATURALES I
612,PLANEACION Y DESARROLLO IND.
628,PRODUCTOS NATURALES
629,PLAN. Y DES. DE PLAN.SID.
640,QUIMICA CUANTICA
641,QUIMICA EXP. APLICADA I
643,QUIMICA INDUSTRIAL
649,QUIMICA NUCLEAR Y RADIOQUIMICA
658,QUIMICA DEL PETROLEO
682,REFRACTARIOS
691,REFINACION SECUNDARIA DE ACERO
721,SEMINARIO I
723,SIMULACION DE PROCESOS I
724,SIMULACION DE PROCESOS II
725,SEMINARIO DE BIOQUIMICA
726,SEMINARIO DE INMUNOLOGIA
727,SEMINARIO DE MICROB INDUSTRIAL
755,SIMULACION DE PROCESOS METAL.
756,SOLIDIFICACION
759,TEC. DE FIBRAS QUIMICAS
762,TECNOLOGIA DE MATERIALES
763,TECNOLOGIA NUCLEAR
764,TECNOLOGIA QUIMICA
770,TECNOLOGIA DE ALIMENTOS III
780,TRANSFORMACIONES DE FASE
786,TOP SEL DE LA PRACTICA DEL IQ
790,UNION QUIMICA
856,QUIMICA ANALITICA V
1336,EQUIL.SIMUL.MEDIO HOM.Y HET.
1436,EQUIL.SIMUL.EN SIST. HETEROG.
