CLAVE,NOMBRE,CREDITOS,LABORATORIO,INICIO,INICIO,DEPARTAMENTO,NOMBRE_COMPLETO,EQUIVALENCIA,NOMBRE_INGLES,PORCEN_CAL
201,ECONOMIA INDUSTRIAL I,6,T,20001,20001,3040100,ECONOMIA INDUSTRIAL I,0,INDUSTRIAL ECONOMY I,0
21,ASPECTOS LEGALES INDUSTRIALES,6,T,20001,20001,3040100,ASPECTOS LEGALES INDUSTRIALES,0,-,0
49,BIOQUIMICA III,9,T,20001,20001,4010100,BIOQUIMICA III,0,BIOCHEMISTRY III,0
129,CALCULO AVANZADO,6,T,20001,20001,1030100,CALCULO AVANZADO,0,-,0
137,CORROSION Y PROT. METALICA,6,T,20001,20001,3020100,CORROSION Y PROT. METALICA,0,-,0
149,CRISTALOGRAFIA Y DIFRACCION,8,T,20001,20001,3020200,CRISTALOGRAFIA Y DIFRACCION,0,-,0
163,DIRECCION DE EMPRESAS,6,T,20001,20001,3040100,DIRECCION DE EMPRESAS,0,BUSSINES ADMINISTRATION,0
203,ESPECTROSCOPIA APLICADA,10,T,20001,20001,2010200,ESPECTROSCOPIA APLICADA,0,APPLIED SPECTROSCOPY,0
209,ENOLOGIA,7,T,20001,20001,3030200,ENOLOGIA,0,ENOLOGY,0
249,FENOMENOS DE TRANSPORTE,6,T,20001,20001,3010100,FENOMENOS DE TRANSPORTE,0,-,0
258,FISICA VI,8,T,20001,20001,1020100,FISICA VI,0,PHYSICS VI,0
259,FISICA VII,8,T,20001,20001,1020100,FISICA VII,0,-,0
270,FISICOQUIMICA VIII,9,T,20001,20001,1010200,FISICOQUIMICA VIII,0,PHYSICAL CHEMISTRY VIII,0
271,FISICOQUIMICA IX,9,T,20001,20001,1010100,FISICOQUIMICA IX,0,-,0
325,INGENIERIA METALURGICA I,9,T,20001,20001,3020300,INGENIERIA METALURGICA I,0,METALLURGICAL ENGINEERING I,0
326,INGENIERIA METALURGICA II,9,T,20001,20001,3020300,INGENIERIA METALURGICA II,0,METALLURGICAL ENGINEERING II,0
327,INGENIERIA NUCLEAR,6,T,20001,20001,2020300,INGENIERIA NUCLEAR,0,-,0
339,INSTRUMENTACION INDUSTRIAL,6,T,20001,20001,3010300,INSTRUMENTACION INDUSTRIAL,0,INDUSTRIAL INSTRUMENTATION,0
340,INVESTIGACION DE OPERACIONES I,6,T,20001,20001,3010100,INVESTIGACION DE OPERACIONES I,0,-,0
341,INVEST.DE OPER.II,6,T,20001,20001,3010100,INVEST.DE OPER.II,0,-,0
343,INGENIERIA INDUSTRIAL I,6,T,20001,20001,3040100,INGENIERIA INDUSTRIAL I,0,INDUSTRIAL ENGINEERING,0
355,INGENIERIA AMBIENTAL I,6,T,20001,20001,3010300,INGENIERIA AMBIENTAL I,0,ENVIRONMENTAL ENGINEERING I,0
356,INGENIERIA AMBIENTAL II,6,T,20001,20001,3010300,INGENIERIA AMBIENTAL II,0,ENVIRONMENTAL ENGINEERING II,0
357,INGENIERIA DE FUNDICION,6,T,20001,20001,3020300,INGENIERIA DE FUNDICION,0,FOUNDRY ENGINEERING,0
489,METALURGIA ADAPTATIVA II,6,T,20001,20001,3020300,METALURGIA ADAPTATIVA II,0,ADAPTATIVA METALLURGY II,0
491,METALURGIA EXTRACTIVA II,6,T,20001,20001,3020100,METALURGIA EXTRACTIVA II,0,EXTRACTIVA METALLURGY II,0
492,METALURGIA EXTRACTIVA III,6,T,20001,20001,3020100,METALURGIA EXTRACTIVA III,0,EXTRACTIVA METALLURGY III,0
501,MICROBIOLOGIA II,9,T,20001,20001,4030200,MICROBIOLOGIA II,0,-,0
575,OPTIMIZACION,6,T,20001,20001,3010300,OPTIMIZACION,0,-,0
601,PAPEL Y CELULOSA II,6,T,20001,20001,2030300,PAPEL Y CELULOSA II,0,CELLULOSE AND PAPE II,0
606,POLIMEROS,10,T,20001,20001,2030300,POLIMEROS,0,POLYMERS,0
609,PROCESOS PETROQUIMICOS,6,T,20001,20001,3010300,PROCESOS PETROQUIMICOS,0,PETROCHEMICAL PROCESS,0
610,PRODUCTOS NATURALES I,10,T,20001,20001,2030200,PRODUCTOS NATURALES I,0,NATURALS PRODUCTS I,0
612,PLANEACION Y DESARROLLO IND.,6,T,20001,20001,3040100,PLANEACION Y DESARROLLO IND.,0,PLANNING AND INDUSTRIAL DEVELOPMENT,0
628,PRODUCTOS NATURALES,7,T,20001,20001,4020100,PRODUCTOS NATURALES,0,-,0
629,PLAN. Y DES. DE PLAN.SID.,6,T,20001,20001,3020300,PLAN. Y DES. DE PLAN.SID.,0,-,0
640,QUIMICA CUANTICA,6,T,20001,20001,1020200,QUIMICA CUANTICA,0,-,0
641,QUIMICA EXP. APLICADA I,20,T,20001,20001,2030200,QUIMICA EXP. APLICADA I,0,APPLIED EXPER CHEMISTRY I,0
643,QUIMICA INDUSTRIAL,10,T,20001,20001,2030300,QUIMICA INDUSTRIAL,0,INDUSTRIAL CHEMISTRY,0
649,QUIMICA NUCLEAR Y RADIOQUIMICA,6,T,20001,20001,2020300,QUIMICA NUCLEAR Y RADIOQUIMICA,0,-,0
658,QUIMICA DEL PETROLEO,10,T,20001,20001,2030300,QUIMICA DEL PETROLEO,0,-,0
682,REFRACTARIOS,6,T,20001,20001,3020300,REFRACTARIOS,0,REFRACTORYS,0
691,REFINACION SECUNDARIA DE ACERO,6,T,20001,20001,3020300,REFINACION SECUNDARIA DE ACERO,0,-,0
721,SEMINARIO I,6,T,20001,20001,2030200,SEMINARIO I,0,SEMINAR I,0
723,SIMULACION DE PROCESOS I,6,T,20001,20001,3010300,SIMULACION DE PROCESOS I,0,-,0
724,SIMULACION DE PROCESOS II,6,T,20001,20001,3010300,SIMULACION DE PROCESOS II,0,-,0
725,SEMINARIO DE BIOQUIMICA,7,T,20001,20001,4010100,SEMINARIO DE BIOQUIMICA,0,-,0
726,SEMINARIO DE INMUNOLOGIA,7,T,20001,20001,4030100,SEMINARIO DE INMUNOLOGIA,0,-,0
727,SEMINARIO DE MICROB INDUSTRIAL,7,T,20001,20001,4030200,SEMINARIO DE MICROB INDUSTRIAL,0,MICROBIOLOGY INDUSTRIAL SEMINAR,0
755,SIMULACION DE PROCESOS METAL.,6,T,20001,20001,3020300,SIMULACION DE PROCESOS METAL.,0,-,0
756,SOLIDIFICACION,6,T,20001,20001,3020300,SOLIDIFICACION,0,-,0
759,TEC. DE FIBRAS QUIMICAS,6,T,20001,20001,2030300,TEC. DE FIBRAS QUIMICAS,0,-,0
762,TECNOLOGIA DE MATERIALES,6,T,20001,20001,3020200,TECNOLOGIA DE MATERIALES,0,-,0
763,TECNOLOGIA NUCLEAR,6,T,20001,20001,2020300,TECNOLOGIA NUCLEAR,0,-,0
764,TECNOLOGIA QUIMICA,6,T,20001,20001,3010300,TECNOLOGIA QUIMICA,0,-,0
770,TECNOLOGIA DE ALIMENTOS III,7,T,20001,20001,3030100,TECNOLOGIA DE ALIMENTOS III,0,FOOD TECHNOLOGY III,0
780,TRANSFORMACIONES DE FASE,6,T,20001,20001,3020200,TRANSFORMACIONES DE FASE,0,-,0
786,TOP SEL DE LA PRACTICA DEL IQ,6,T,20001,20001,3010100,TOP SEL DE LA PRACTICA DEL IQ,0,CHEMICAL ENGINEERING SELECT TOPICAL,0
790,UNION QUIMICA,10,T,20001,20001,1010100,UNION QUIMICA,0,-,0
856,QUIMICA ANALITICA V,4,T,20001,20001,2010200,QUIMICA ANALITICA V,0,ANALYTICAL CHEMISTRY V,0
1336,EQUIL.SIMUL.MEDIO HOM.Y HET.,9,L,20001,20001,2010100,EQUIL.SIMUL.MEDIO HOM.Y HET.,0,-,0
1436,EQUIL.SIMUL.EN SIST. HETEROG.,9,L,20001,20001,2010200,EQUIL.SIMUL.EN SIST. HETEROG.,0,-,0
1536,METODOS OPTICOS DE ANALISIS,9,L,20001,20001,2010200,METODOS OPTICOS DE ANALISIS,0,ANALYSIS OPTICS METHODS,0
1889,ANALISIS INSTRUMENTAL DE ALIM.,9,L,20001,20001,2010200,ANALISIS INSTRUMENTAL DE ALIM.,0,FOOD INSTRUMENTAL ANALYSIS,0
9,ANALISIS IV,8,L,20001,20001,2010300,ANALISIS IV,0,ANALYSIS IV,0
10,ANALISIS V,8,L,20001,20001,2010300,ANALISIS V,0,ANALYSIS V,0
12,ANALISIS VI,8,L,20001,20001,2010300,ANALISIS VI,0,ANALYSIS VI,0
13,ANALISIS VII,8,L,20001,20001,2010300,ANALISIS VII,0,ANALYSIS VII,0
15,ANALISIS VIII,9,L,20001,20001,2010300,ANALISIS VIII,0,ANALYSIS VIII,0
19,AZUCAR I,8,L,20001,20001,2030300,AZUCAR I,0,SUGAR I,0
20,AZUCAR II,8,L,20001,20001,2030300,AZUCAR II,0,-,0
26,ANALISIS DE ALIMENTOS,10,L,20001,20001,3030200,ANALISIS DE ALIMENTOS,0,FOOD ANALYSIS,0
45,BIOQUIMICA I,9,L,20001,20001,4010100,BIOQUIMICA I,0,BIOCHEMISTRY I,0
47,BIOQUIMICA II,9,L,20001,20001,4010100,BIOQUIMICA II,0,BIOCHEMISTRY II,0
120,GEN.FIB.NAT.SINT.Y ART.,8,L,20001,20001,2030300,GEN.FIB.NAT.SINT.Y ART.,0,-,0
121,TINTURA Y ACABADO DE FIBRAS,8,L,20001,20001,2030300,TINTURA Y ACABADO DE FIBRAS,0,-,0
127,CONTROL DE CALIDAD,9,L,20001,20001,3030200,CONTROL DE CALIDAD,0,QUALITY CONTROL,0
175,DESARROLLO DE ALIMENTOS,9,L,20001,20001,3030100,DESARROLLO DE ALIMENTOS,0,FOODS DEVELOPMENT,0
210,ENZIMOLOGIA APL. A LOS ALIM.,7,L,20001,20001,3030200,ENZIMOLOGIA APL. A LOS ALIM.,0,APPLIED TO FOODS ENZYMOLOGY,0
263,FISICOQUIMICA IV,9,L,20001,20001,1010100,FISICOQUIMICA IV,0,PHYSICAL CHEMISTRY IV,0
290,FERMENTACIONES INDUSTRIALES,10,L,20001,20001,3030200,FERMENTACIONES INDUSTRIALES,0,INDUSTRIALS FERMENTATIONS,0
301,FISICA VI,8,L,20001,20001,3020200,FISICA VI,0,PHYSICS VI,0
494,METALURGIA EXTRACTIVA V,9,L,20001,20001,3020100,METALURGIA EXTRACTIVA V,0,EXTRACTIVA METALLURGY V,0
496,METALURGIA FISICA II,9,L,20001,20001,3020200,METALURGIA FISICA II,0,PHYSICS METALLURGY II,0
497,METALURGIA FISICA III,9,L,20001,20001,3020200,METALURGIA FISICA III,0,PHYSICS METALLURGY III,0
498,MICROBIOLOGIA I,9,L,20001,20001,4030200,MICROBIOLOGIA I,0,-,0
504,MICROBIOLOGIA INDUSTRIAL,9,L,20001,20001,4030200,MICROBIOLOGIA INDUSTRIAL,0,-,0
505,MINERALOGIA I,8,L,20001,20001,3020100,MINERALOGIA I,0,MINERALOGY I,0
506,MINERALOGIA II,8,L,20001,20001,3020100,MINERALOGIA II,0,MINERALOGY II,0
507,METALURGIA FISICA IV,9,L,20001,20001,3020200,METALURGIA FISICA IV,0,PHYSICS METALLURGY IV,0
527,MICROBIOLOGIA DE ALIMENTOS,10,L,20001,20001,4030200,MICROBIOLOGIA DE ALIMENTOS,0,FOOD MICROBIOLOGY,0
561,NUTRICION,9,L,20001,20001,3030200,NUTRICION,0,NUTRITION,0
604,PLASTICOS Y SILICONES I,8,L,20001,20001,2030300,PLASTICOS Y SILICONES I,0,SILICONS AND PLASTICS I,0
605,PLASTICOS Y SILICONES II,8,L,20001,20001,2030300,PLASTICOS Y SILICONES II,0,SILICONS AND PLASTICS II,0
616,PROCESOS DE ALIMENTOS,10,L,20001,20001,3030100,PROCESOS DE ALIMENTOS,0,FOOD PROCESSES,0
645,QUIMICA INORGANICA II,8,L,20001,20001,2020200,QUIMICA INORGANICA II,0,INORGANIC CHEMISTRY II,0
690,RESISTENCIA DE MATERIALES,9,L,20001,20001,3020200,RESISTENCIA DE MATERIALES,0,STRENGTH OF MATERIALS,0
767,TRATAMIENTO DE AGUAS,8,L,20001,20001,2030300,TRATAMIENTO DE AGUAS,0,WATER OF TREATMENT,0
768,TECNOLOGIA DE ALIMENTOS I,9,L,20001,20001,3030100,TECNOLOGIA DE ALIMENTOS I,0,FOOD TECHNOLOGY I,0
769,TECNOLOGIA DE ALIMENTOS II,9,L,20001,20001,3030100,TECNOLOGIA DE ALIMENTOS II,0,FOOD TECHNOLOGY II,0
771,TECNOLOGIA DE CEREALES,9,L,20001,20001,3030100,TECNOLOGIA DE CEREALES,0,CEREALS TECHNOLOGY,0
782,TECNOLOGIA DE MALTA Y CERVEZA,7,L,20001,20001,3030200,TECNOLOGIA DE MALTA Y CERVEZA,0,-,0
801,VITAMINAS Y HORMONAS,7,L,20001,20001,4010200,VITAMINAS Y HORMONAS,0,-,0
51,MICROBIOLOGIA II,6,L,20001,20001,1030200,MICROBIOLOGIA II,0,-,0
1014,ENERGETICOS I,8,L,20001,20001,3010200,ENERGETICOS I,0,ENERGETICS I,80
1015,ENERGETICOS II,8,L,20001,20001,3010200,ENERGETICOS II,0,ENERGETICS II,80
1016,PETROQUIMICA I,8,L,20001,20001,3010200,PETROQUIMICA I,0,PETROCHEMICAL I,80
1633,UNION QUIM. Y FUND. ESPECTROS,8,T,20001,20001,1020100,UNION QUIM. Y FUND. ESPECTROS,0,CHEMICAL BONDING AND SPECTROSCOPY,100
1081,BIOLOGIA MOLECULAR,6,T,20001,20001,3030300,BIOLOGIA MOLECULAR,0,MOLECULAR BIOLOGY,100
1082,CONTROL DE CALIDAD II,6,T,20001,20001,3030300,CONTROL DE CALIDAD II,0,QUALITY CONTROL II,100
1083,ENOLOGIA,6,T,20001,20001,3030300,ENOLOGIA,0,ENOLOGY,100
1084,GRASAS Y ACEITES COMESTIBLES,6,T,20001,20001,3030300,GRASAS Y ACEITES COMESTIBLES,0,EATABLE GREASE AND OIL,0
1085,MALTA Y CERVEZA,6,T,20001,20001,3030300,MALTA Y CERVEZA,0,BEER AND MALT,100
1086,NUTRICION II,6,T,20001,20001,3030300,NUTRICION II,0,NUTRITION II,100
1087,PRODUCTOS PESQUEROS yACUICOLAS,6,T,20001,20001,3030300,PRODUCTOS PESQUEROS yACUICOLAS,0,FISHING PRODUCTS,0
1088,TRATAMIENTOS AGUAS Y DES.IND.,6,T,20001,20001,3030300,TRATAMIENTOS AGUAS Y DES.IND.,0,WATER TREATMENT AND INDUSTRIAL RESIDUES,0
1582,DISEÑO DE EXPERIMENTOS,6,T,20001,20001,1030200,DISEÑO DE EXPERIMENTOS,0,EXPERIMENTS DESIGN,100
1587,OPERACIONES UNITARIAS ALIM. I,6,T,20001,20001,3030100,OPERACIONES UNITARIAS ALIM. I,0,UNITARY OPERATIONS OF FOODS I,100
1687,OPERACIONES UNITARIAS ALIM.II,10,T,20001,20001,3030100,OPERACIONES UNITARIAS ALIM.II,0,UNITARY OPERATIONS OF FOODS II,100
1681,ECONOMIA DE LA IND.ALIMENTARIA,6,T,20001,20001,3040100,ECONOMIA DE LA IND.ALIMENTARIA,0,ECONOMY OF THE FOOD INDUSTRY,100
1785,QUIMICA DE ADITIVOS ALIM.,6,T,20001,20001,3030200,QUIMICA DE ADITIVOS ALIM.,0,CHEMISTRY OF ALIMENTARY ADDITIVES,100
1885,DESARROLLO DE ALIMENTOS,6,T,20001,20001,3030300,DESARROLLO DE ALIMENTOS,0,FOODS DEVELOPMENT,100
1983,HIGIENE Y LEGISLACION ALIM.,6,T,20001,20001,3030100,HIGIENE Y LEGISLACION ALIM.,0,SANITATION AND FOOD LEGISLATION,100
1985,DESARROLLO EXP. DE ALIMENTOS,20,T,20001,20001,3030300,DESARROLLO EXP. DE ALIMENTOS,0,EXPERIMENTAL DEVELOPMENT OF FOODS,100
1421,PRINCIPIOS DE CINETICA,9,T,20001,20001,1010200,PRINCIPIOS DE CINETICA,0,PRINCIPLES OF KINETICS,100
1021,PROCESOS EXTRACCION Y REFINAC.,9,T,20001,20001,3020100,PROCESOS EXTRACCION Y REFINAC.,0,-,100
1022,INGENIERIA METALURGICA,9,T,20001,20001,3020300,INGENIERIA METALURGICA,0,METALLURGICAL ENGINEERING,100
1822,INGENIERIA ECONOMICA,6,T,20001,20001,3040100,INGENIERIA ECONOMICA,0,ENGINEERING ECONOMICS,100
1025,PROCESOS CORROSION ELECTROMETA,9,T,20001,20001,3020100,PROCESOS CORROSION ELECTROMETA,0,ELECTROMETALLURGY PROCESSES CORROSION,100
1225,INTRODUCCION A LA METALURGIA,6,T,20001,20001,3020300,INTRODUCCION A LA METALURGIA,0,INTRODUCTION TO METALLURGY,0
1321,ECUACIONES DIFERENC. PARCIALES,8,T,20001,20001,1030100,ECUACIONES DIFERENC. PARCIALES,0,PARTIAL DIFFERENTIAL EQUATIONS,100
1523,TRANSPORTE DE ENERGIA,8,T,20001,20001,3020300,TRANSPORTE DE ENERGIA,0,ENERGY TRANSPORT,100
1529,INSTALACIONES Y EQUIPOS ELCTRI,6,T,20001,20001,3010300,INSTALACIONES Y EQUIPOS ELCTRI,0,INSTALLATION AND ELECTRICAL EQUIPMENT,100
1623,TRANSPORTE DE MASA,9,T,20001,20001,3020300,TRANSPORTE DE MASA,0,MASS TRANSPORT,100
1629,INSTRUMENTACION Y CONTROL D PROCESOS,6,T,20001,20001,3010300,INSTRUMENTACION CONTROL PROCES,0,INSTRUMENTATION AND CONTROL PROCESSES,100
1721,PROCESOS DE SOLIDIFICACION,8,T,20001,20001,3020300,PROCESOS DE SOLIDIFICACION,0,SOLIDIFICACION PROCESSES,100
1828,ACERACION,8,T,20001,20001,3020300,ACERACION,0,STEELMAKING,100
1923,ANALISIS PROCESOS METALURGICOS,6,T,20001,20001,3020300,ANALISIS PROCESOS METALURGICOS,0,ANALYSIS OF METALLURGICAL PROCESSES,100
1723,FUNDAMENTOS OPTIMIZAC. SIMULAC,8,T,20001,20001,3010300,FUNDAMENTOS OPTIMIZAC. SIMULAC,0,PRINCIPLES OF OPTIMIZATION AND SIMULATION,100
1725,PROCESOS CONFORMADO MECANICO,8,L,20001,20001,3020200,PROCESOS CONFORMADO MECANICO,0,MECHANICAL MANUFACTURING PROCESSES,80
1825,PREVENCION ANALISIS DE FALLAS,9,T,20001,20001,3020200,PREVENCION ANALISIS DE FALLAS,0,PREVENTION AND ANALYSIS OF FAILURES,67
1423,DINAMICA DE FLUIDOS,11,T,20001,20001,3020300,DINAMICA DE FLUIDOS,0,DYNAMICS OF FLUIDS,100
1101,CAL. DE FUN. DE UNA VARIABLE,8,T,20001,20001,1030100,CAL. DE FUN. DE UNA VARIABLE,0,CALCULUS OF A SINGLE VARIABLE,0
1102,ALGEBRA,8,T,20001,20001,1030100,ALGEBRA,0,ALGEBRA,0
1201,CAL. DE FUN. DE VAR. VARIABLES,8,T,20001,20001,1030100,CAL. DE FUN. DE VAR. VARIABLES,0,CALCULUS OF SEVERAL VARIABLES,100
1202,ECUACIONES DIFERENCIALES,8,T,20001,20001,1030100,ECUACIONES DIFERENCIALES,0,DIFFERENTIAL EQUATIONS,100
1204,ESTRUCTURA DE LA MATERIA,8,T,20001,20001,1020100,ESTRUCTURA DE LA MATERIA,0,ATOMIC STRUCTURE,100
1109,PROGRAMACION Y COMPUTACION,6,T,20001,20001,1030200,PROGRAMACION Y COMPUTACION,0,COMPUTER SCIENCE,100
1302,ESTADISTICA,8,T,20001,20001,1030200,ESTADISTICA,0,STATISTICS,100
1418,INGENIERIA MECANICA,6,T,20001,20001,1020100,INGENIERIA MECANICA,0,MECHANICAL ENGINEERING,100
1409,METODOS NUMERICOS,6,T,20001,20001,1030200,METODOS NUMERICOS,0,NUMERICAL METHODS,100
1518,INGENIERIA ELECTRICA,6,T,20001,20001,1020200,INGENIERIA ELECTRICA,0,ELECTRICAL ENGINEERING,100
1615,QUIM. DE LOS PROCESOS INDUST.,6,T,20001,20001,2030300,QUIM. DE LOS PROCESOS INDUST.,0,CHEMISTRY OF INDUSTRIAL PROCESSES,100
1718,SELECCION Y ESPECIF. DE EQUIPO,6,T,20001,20001,3010300,SELECCION Y ESPECIF. DE EQUIPO,0,EQUIPMENT SELECTION AND SPECIFICATION,100
1719,INGENIERIA ECONOMICA I,6,T,20001,20001,3040100,INGENIERIA ECONOMICA I,0,ECONOMIC ENGINEERING I,100
1801,INGENIERIA ECONOMICA II,6,T,20001,20001,3040100,INGENIERIA ECONOMICA II,0,ECONOMIC ENGINEERING II,100
1710,INGENIERIA AMBIENTAL,6,T,20001,20001,3010300,INGENIERIA AMBIENTAL,0,ENVIRONMENTAL ENGINEERING,100
1818,INGENIERIA DE SERVICIOS,6,T,20001,20001,3010300,INGENIERIA DE SERVICIOS,0,UTILITIES ENGINEERING,100
1901,ADMINISTRACION INDUSTRIAL,6,T,20001,20001,3040100,ADMINISTRACION INDUSTRIAL,0,INDUSTRIAL MANAGEMENT,100
1919,RELACIONES HUMANAS EN EMPRESA,5,L,20001,20001,3040100,RELACIONES HUMANAS EN EMPRESA,0,HUMAN RELATIONS WITHIN A COMPANY,0
1910,SEGURIDAD INDUSTRIAL,6,T,20001,20001,3010300,SEGURIDAD INDUSTRIAL,0,INDUSTRIAL SAFETY,100
1733,ESPECTROSCOPIA APLICADA,8,T,20001,20001,2010200,ESPECTROSCOPIA APLICADA,0,APPLIED SPECTROSCOPY,100
1835,INT. A LA OP. Y ACT. IND. QUIM,6,T,20001,20001,3010300,INT. A LA OP. Y ACT. IND. QUIM,0,INT. OP. AND ACT CHEMICAL IND,100
1930,SEMINARIO,6,T,20001,20001,2030000,SEMINARIO,0,SEMINAR,100
1030,DES. Y OPT. DE PROC. DE SINT.I,6,T,20001,20001,2030300,DES. Y OPT. DE PROC. DE SINT.I,0,"DEVELOPMENT, OPTIMIZATION OF PROCESSES OF SINT I",100
1031,DES.Y OPT DE PROC. DE SINT. II,6,T,20001,20001,2030300,DES.Y OPT DE PROC. DE SINT. II,0,"DEVELOPMENT, OPTIMIZATION OF PROCESSES OF SINT II",100
1032,DESARROLLO ANALITICO,6,T,20001,20001,2010100,DESARROLLO ANALITICO,0,ANALYTIC DEVELOPMENT,100
1034,INTROD. A LA GEST. TEC. QUIM.I,6,T,20001,20001,3040100,INTROD. A LA GEST. TEC. QUIM.I,0,INTRODUCTION TO CHEMICAL TECHNOLOGY I,100
1035,INTROD.A LA GEST.TEC. QUIM. II,6,T,20001,20001,3040100,INTROD.A LA GEST.TEC. QUIM. II,0,INTRODUCTION TO CHEMICAL TECHNOLOGY II,100
1036,RECURSOS NATURALES,6,T,20001,20001,2020200,RECURSOS NATURALES,0,NATURAL RESOURCES,100
1037,EQUILIBRIO DE ECOSISTEMAS,6,T,20001,20001,2020200,EQUILIBRIO DE ECOSISTEMAS,0,ECOSYSTEMS EQUILIBRIUM,100
1208,BIOLOGIA CELULAR,6,T,20001,20001,4030100,BIOLOGIA CELULAR,0,CELULAR BIOLOGY,100
1306,FENOMENOS DE TRANSPORTE,8,L,20001,20001,3010100,FENOMENOS DE TRANSPORTE,0,TRANSPORT PHENOMENA,80
1325,ELEMENTOS DE CIENCIA DE MATS.,8,L,20001,20001,3020200,ELEMENTOS DE CIENCIA DE MATS.,0,SCIENCE OF THE PRINCIPLES OF MATERIALS,75
1525,TRANSFORMACIONES DE FASE,8,L,20001,20001,3020200,TRANSFORMACIONES DE FASE,0,PHASE TRANSFORMATIONS,70
1621,COMPORTAMIENTO MECANICO METALE,9,L,20001,20001,3020200,COMPORTAMIENTO MECANICO METALE,0,MECHANICAL BEHAVIOR OF METALS,70
1625,TRATAMIENTOS TERMICOS,9,L,20001,20001,3020200,TRATAMIENTOS TERMICOS,0,HEAT TREATMENTS,70
1626,HIDROMETALURGIA,9,L,20001,20001,3020100,HIDROMETALURGIA,0,HIDROMETALLURGY,67
1627,ELECTROQUIMICA,8,L,20001,20001,1010200,ELECTROQUIMICA,0,ELECTROCHEMISTRY,75
1720,CORROSION Y PROTECCION,9,L,20001,20001,3020100,CORROSION Y PROTECCION,0,CORROSION AND PROTECTION,67
1726,PIROMETALURGIA,8,L,20001,20001,3020100,PIROMETALURGIA,0,PYROMETALLURGY,75
1729,PROCESADO ELECTROMETALURGICO,8,L,20001,20001,3020100,PROCESADO ELECTROMETALURGICO,0,ELECTROMETALLURGY PROCESSES,75
1820,PROCESOS ALTERNOS MANUFACTURA,8,L,20001,20001,3020200,PROCESOS ALTERNOS MANUFACTURA,0,ALTERNATIVE MANUFACTURING PROCESSES,75
1346,QUIMICA ANALITICA I,9,L,20001,20001,2010100,QUIMICA ANALITICA I,0,ANALYTICAL CHEMISTRY I,0
1446,QUIMICA ANALITICA II,9,L,20001,20001,2010100,QUIMICA ANALITICA II,0,ANALYTICAL CHEMISTRY II,0
1516,ANALITICA I,10,L,20001,20001,2010100,ANALITICA I,0,ANALYTICAL I,60
1616,ANALITICA II,10,L,20001,20001,2010200,ANALITICA II,0,ANALYTICAL II,60
1256,QUIMICA ANALITICA I,9,L,20001,20001,2010100,QUIMICA ANALITICA I,1,ANALYTICAL CHEMISTRY I,66.67
