CLAVE,NOMBRE,CREDITOS,LABORATORIO,INICIO,VIGENCIA,DEPARTAMENTO,NOMBRE_COMPLETO,EQUIVALENCIA,NOMBRE_INGLES,PORCEN_CAL
0325,INGENIERIA METALURGICA I,9,T,20001,S,03020300,INGENIERIA METALURGICA I,0,METALLURGICAL ENGINEERING I,
0326,INGENIERIA METALURGICA II,9,T,20001,S,03020300,INGENIERIA METALURGICA II,0,METALLURGICAL ENGINEERING II,
1236,EQUIL. QUIM.SIMP.EN FASE HOM.,9,L,20001,S,02010100,EQUIL. QUIM.SIMP.EN FASE HOM.,0,,
1336,EQUIL.SIMUL.MEDIO HOM.Y HET.,9,L,20001,S,02010100,EQUIL.SIMUL.MEDIO HOM.Y HET.,0,,
1436,EQUIL.SIMUL.EN SIST. HETEROG.,9,L,20001,S,02010200,EQUIL.SIMUL.EN SIST. HETEROG.,0,,
1536,METODOS OPTICOS DE ANALISIS,9,L,20001,S,02010200,METODOS OPTICOS DE ANALISIS,0,ANALYSIS OPTICS METHODS,
1889,ANALISIS INSTRUMENTAL DE ALIM.,9,L,20001,S,02010200,ANALISIS INSTRUMENTAL DE ALIM.,0,FOOD INSTRUMENTAL ANALYSIS,
1014,ENERGETICOS  I,8,L,20001,S,03010200,ENERGETICOS  I,0,ENERGETICS I,80.00
1015,ENERGETICOS II,8,T,20001,S,03010200,ENERGETICOS II,0,ENERGETICS II,80.00
1016,PETROQUIMICA I,8,L,20001,S,03010200,PETROQUIMICA I,0,PETROCHEMICAL I,80.00
1633,UNION QUIM. Y FUND. ESPECTROS,8,T,20001,S,01020100,UNION QUIM. Y FUND. ESPECTROS,0,CHEMICAL BONDING AND SPECTROSCOPY,100.00
1081,BIOLOGIA MOLECULAR,6,T,20001,S,03030300,BIOLOGIA MOLECULAR,0,MOLECULAR BIOLOGY,100.00
1082,CONTROL DE CALIDAD II,6,T,20001,S,03030300,CONTROL DE CALIDAD II,0,QUALITY CONTROL II,100.00
1083,ENOLOGIA,6,T,20001,S,03030300,ENOLOGIA,0,ENOLOGY,100.00
1084,GRASAS Y ACEITES COMESTIBLES,6,T,20001,S,03030300,GRASAS Y ACEITES COMESTIBLES,0,EATABLE GREASE AND OIL,
1085,MALTA Y CERVEZA,6,T,20001,S,03030300,MALTA Y CERVEZA,0,BEER AND MALT,100.00
1086,NUTRICION II,6,T,20001,S,03030300,NUTRICION II,0,NUTRITION II,100.00
1087,PRODUCTOS PESQUEROS yACUICOLAS,6,T,20001,S,03030300,PRODUCTOS PESQUEROS yACUICOLAS,0,FISHING PRODUCTS,
1088,TRATAMIENTOS AGUAS Y DES.IND.,6,T,20001,S,03030300,TRATAMIENTOS AGUAS Y DES.IND.,0,WATER TREATMENT AND INDUSTRIAL RESIDUES,
1582,DISEÑO DE EXPERIMENTOS,6,T,20001,S,01030200,DISEÑO DE EXPERIMENTOS,0,EXPERIMENTS DESIGN,100.00
1587,OPERACIONES UNITARIAS ALIM. I,6,T,20001,S,03030100,OPERACIONES UNITARIAS ALIM. I,0,UNITARY OPERATIONS OF FOODS I,100.00
1687,OPERACIONES UNITARIAS ALIM.II,10,T,20001,S,03030100,OPERACIONES UNITARIAS ALIM.II,0,UNITARY OPERATIONS OF FOODS II,100.00
1681,ECONOMIA DE LA IND.ALIMENTARIA,6,T,20001,S,03040100,ECONOMIA DE LA IND.ALIMENTARIA,0,ECONOMY OF THE FOOD INDUSTRY,100.00
1785,QUIMICA DE ADITIVOS ALIM.,6,T,20001,S,03030200,QUIMICA DE ADITIVOS ALIM.,0,CHEMISTRY OF ALIMENTARY ADDITIVES,100.00
1885,DESARROLLO DE ALIMENTOS,6,T,20001,S,03030300,DESARROLLO DE ALIMENTOS,0,FOODS DEVELOPMENT,100.00
1983,HIGIENE Y LEGISLACION ALIM.,6,T,20001,S,03030100,HIGIENE Y LEGISLACION ALIM.,0,SANITATION AND FOOD LEGISLATION,100.00
