IIDPLAZAEM,INUMEMP,INUMPLAZA,TICVEFUNC,TICVEPROG,SICVESUBPR,SICVEDEP,TICVESUBDE,SICVEPART,CCVETIPEJE,CCVECATEG,CNIVELDGP,NTOTHOR,MSDO,TICVETIPCO,SDFECINI,SDFECFIN,SICVENODO,SISTATUS,CUNIPAG,SICVEORGIN,TICVETIPMO,SINUMCAU,SICVELIC,VCDESARECO,VCNUMFOLDG,NPERPAG,SDFECREG,CPROCSIP,TICVECLASA,INUMFOL,SISERIAL,SICVEDEPNO,TICVESDNOD,INUMEMPREG
252929,141617,14388,1,0,1,418,1,151,,ET2300,52,30.0000,3914.0000,0,01/03/2007,,1,10,N,0,1,28,0,SE ANEXA OF.(418.01)-998 DE LA C.M.P.E FECHADO EL 19/02/2007,2007028152,200707,22/03/2007,S,0,65913,2,723,0,0
291659,823253,25328,3,1,4,418,2,151,0,ET1700,50,30.0000,6046.0500,0,16/11/2010,,8,10,N,0,1,28,0,,2011001184,201101,14/12/2010,S,0,23917,2,418,0,0
199419,89826,15076,3,1,7,418,2,121,0,D6600,96,40.0000,21608.6000,3,01/02/2010,31/07/2010,8,10,N,0,3,16,43,"QUIMICA TEORICA Especialidad:""Cálculos de estructuras electrónicas de cúmulos de átomos inmersos en materia condensada y en espacio libre""",2010019533,201006,17/03/2010,S,0,21706,1,418,0,0
173961,807148,14532,1,1,1,418,2,151,,AA0200,52,40.0000,2894.0000,0,01/04/2004,,1,10,N,0,1,997,0,,2004537991,200412,19/06/2004,S,0,49033,2,723,0,0
144083,102918,14705,1,0,8,418,1,151,,ET1700,53,32.0000,4352.0000,0,01/05/2003,,1,10,N,0,1,997,0,,2003527672,200313,02/07/2003,S,0,35949,3,723,0,0
144084,102918,68389,1,0,8,418,1,155,,ET1700,53,16.0000,2176.0000,0,01/05/2003,,1,10,N,0,1,997,0,,2003527672,200313,02/07/2003,S,0,35949,4,723,0,0
273272,144619,48908,1,0,1,418,1,151,,AA0200,51,40.0000,3984.6500,0,01/02/2011,,1,10,N,0,1,997,0,,2011501290,201108,06/04/2011,S,0,96732,2,723,0,0
156134,140786,14924,1,0,1,418,1,161,,CFQ800,11,40.0000,5024.0000,0,22/07/2004,,8,10,N,0,1,36,0,,2004055424,200504,18/02/2005,S,0,757,1,418,0,0
133646,69195,15163,3,1,10,418,2,141,,D9500,85,40.0000,7032.5200,0,01/02/1996,,0,1,N,0,1,0,0,,,0,,,0,0,0,0,0,0
277337,848208,14481,1,1,1,418,2,151,,AA0200,50,37.5000,3399.6000,0,12/08/2009,,1,10,N,0,1,62,0,,2009061909,200917,03/09/2009,S,0,85673,1,723,0,0
252113,152744,14290,1,0,6,418,1,147,0,D9400,84,40.0000,11911.3500,4,01/01/2011,31/12/2011,8,10,N,0,1,46,0,FARMACIA,2011000773,201101,14/12/2010,S,0,23833,1,418,0,0
169401,750461,68297,1,1,1,418,2,151,0,A0600,52,32.5000,6941.6000,0,02/11/2010,,8,10,N,0,1,36,0,,2010091128,201023,02/12/2010,S,0,23679,1,418,0,0
234530,750461,73613,1,1,1,418,2,155,0,A0600,52,15.5000,3470.8000,0,02/11/2010,,8,10,N,0,1,36,0,,2010091129,201023,02/12/2010,S,0,23678,1,418,0,0
290906,815447,2933,1,0,1,418,1,151,0,ET4300,50,32.0000,5772.9000,0,16/08/2010,,1,10,N,0,1,28,0,,2010088680,201023,02/12/2010,S,0,93369,2,723,0,0
154344,135700,4820,1,0,20,418,1,151,,ET0600,53,32.0000,5827.6000,0,01/08/2009,,1,10,N,0,1,997,0,,2009502092,200915,05/08/2009,S,0,83781,2,723,0,0
247017,828801,15245,1,0,8,418,1,151,,ET1700,51,32.0000,4992.9500,0,01/09/2008,,1,10,N,0,1,997,0,,2009500559,200906,17/03/2009,S,0,80897,2,723,0,0
290733,830311,57857,3,1,7,418,2,121,0,D6600,96,40.0000,22692.0000,3,01/02/2011,31/01/2012,8,10,N,0,3,1,1,"FISICA Y QUIMICA TEORICA ESPECIALIDAD ""USO DE LA QUIMICA CUANTICA PARA EL ESTUDIO DE MECANISMOS Y CONSTANTES DE VELOCIDAD EN REACCIONES EN FASE GASEOSA Y EN DISOLUCION""",2011018809,201106,16/03/2011,S,0,24770,1,418,0,0
159409,148839,15961,1,1,1,418,2,151,,AA0200,52,40.0000,2788.0000,0,01/05/2003,,1,10,N,0,1,997,0,,2003527766,200312,13/06/2003,S,0,36043,2,723,0,0
265216,843302,14451,1,0,1,418,1,151,,AA0200,50,37.5000,3215.0500,0,29/05/2008,,1,10,N,0,1,62,0,,2008045613,200812,20/06/2008,S,0,75728,1,723,0,0
156198,140956,14768,1,0,20,418,1,151,0,ET0600,52,0.0000,6364.7000,0,14/09/2010,,8,10,N,0,1,36,0,,2010075192,201020,15/10/2010,S,0,23563,1,418,0,0
253251,838415,56205,1,1,1,418,2,151,,AA0200,51,40.0000,3570.5500,0,01/09/2009,,1,10,N,0,1,997,0,,2010500739,201007,27/03/2010,S,0,88996,2,723,0,0
164824,720769,14282,1,0,17,418,1,141,,D9600,89,40.0000,8129.9600,0,16/05/1990,,0,1,N,0,1,0,0,,,0,,,0,0,0,0,0,0
164825,720769,14964,1,0,17,418,1,143,,CA2600,14,48.0000,2263.0000,0,01/02/1996,,0,1,N,0,1,0,0,,,0,,,0,0,0,0,0,0
170316,753072,15044,1,0,11,418,1,121,,D6600,96,40.0000,16624.2000,3,01/04/2005,,8,10,N,0,1,36,0,MATEMATICAS (ENSEÑANZA DE LA ESTADISTICA APLICADA EN EL AREA DE LA QUIMICA),2005026769,200508,19/04/2005,S,0,4139,1,418,0,0
203396,121249,56490,1,0,9,418,1,141,0,D9400,84,40.0000,12508.5500,3,01/02/2011,31/07/2011,8,10,N,0,3,81,32,METALURGIA FÍSICA,2011019511,201106,16/03/2011,S,0,24771,1,418,0,0
210043,121249,60451,4,2,11,311,1,143,,CA5000,14,48.0000,3329.4100,0,01/05/2002,,7,10,N,0,1,38,0,,2002067183,200214,11/07/2002,S,0,150,1,311,0,0
205450,152713,35022,1,1,1,418,2,151,,A0900,52,32.0000,4779.7600,0,01/11/2008,,1,10,N,0,1,997,0,,2009500246,200904,17/02/2009,S,0,80151,2,723,0,0
273841,129634,14639,1,0,6,418,1,151,,ET1600,51,32.5000,9433.5000,0,16/02/2011,,1,10,N,0,1,997,0,,2011500694,201106,16/03/2011,S,0,95990,3,723,0,0
273842,129634,14893,1,0,6,418,1,155,,ET1600,51,15.5000,4716.7500,0,16/02/2011,,1,10,N,0,1,997,0,,2011500694,201106,16/03/2011,S,0,95990,4,723,0,0
222074,742612,2963,3,1,3,327,1,131,,I6500,93,40.0000,14957.7000,3,01/01/2007,,7,10,N,1005,1,36,0,QUIMICA DE RADIACIONES,2007013438,200704,13/02/2007,S,0,710,1,327,1,0
279054,845952,48721,1,0,1,418,1,151,,O1000,50,40.0000,3574.7500,0,01/09/2009,,1,10,N,0,1,28,0,,2009083697,200921,03/11/2009,S,0,86554,2,723,0,0
124657,37902,6071,3,1,2,321,1,131,,I6600,96,40.0000,19379.8500,3,31/08/2008,,7,10,N,0,1,36,0,SÍNTESIS DE COMPLEJOS DE TUNGSTENO COMO CATALIZADORES DE LA REACCIÓN DE METÁTESIS DE OLEFINAS.,2008072660,200819,02/10/2008,S,0,870,1,321,1,0
258375,37902,57490,3,1,1,321,1,143,,CI5000,28,48.0000,2813.0000,0,16/09/2007,,7,10,N,0,1,38,0,QUÍMICA INORGÁNICA,2007091974,200722,09/11/2007,S,0,736,1,321,1,0
168571,743878,15205,3,1,9,418,2,141,,D9400,84,40.0000,6276.8400,0,01/02/1996,,0,1,N,0,1,0,0,,,0,,,0,0,0,0,0,0
280048,127820,14609,1,0,1,418,1,151,0,ET4200,51,32.0000,5747.0000,0,16/10/2009,,8,10,N,0,1,28,0,,2009093967,200923,02/12/2009,S,0,20553,2,418,0,0
270444,147138,14231,1,0,9,418,1,141,0,D9400,84,40.0000,11911.3500,3,10/08/2010,09/08/2011,8,10,N,0,3,54,5,"INGENIERIA METALURGICA ESPECIALIDAD ""FUNDICION DE HIERROS GRISES EN HORNOS DE INDUCCION""",2010058416,201017,02/09/2010,S,0,23082,1,418,0,0
174508,808389,56796,1,0,1,418,1,161,,CF8000,10,32.0000,2991.6000,0,16/08/1998,15/02/1999,0,1,N,0,1,0,0,,,0,,,0,0,0,0,0,0
174509,808389,56797,1,0,1,418,1,165,,CF8000,10,16.0000,1495.8000,0,16/08/1998,15/02/1999,0,1,N,0,1,0,0,,,0,,,0,0,0,0,0,0
143106,99284,49852,1,0,1,418,1,151,,AA0400,53,40.0000,4111.0000,0,16/11/2007,,1,10,N,0,1,997,0,,2007550118,200722,09/11/2007,S,0,70870,2,723,0,0
259162,840466,22915,3,1,2,418,3,127,0,D5600,86,40.0000,13400.2000,4,01/01/2011,31/12/2011,8,10,N,0,1,46,0,"UNIDAD DE QUIMICA EN SISAL, YUCATAN",2011002205,201102,17/01/2011,S,0,23876,1,418,0,0
261330,840466,82727,3,1,2,418,3,128,0,Z0300,07,0.0000,6700.1000,0,01/01/2011,31/12/2011,8,10,N,0,1,46,0,,2011002206,201102,17/01/2011,S,0,23920,1,418,0,0
153876,134509,56699,1,2,2,418,2,143,,CA5000,16,48.0000,6276.8400,0,01/02/1996,,0,1,N,0,1,0,0,,,0,,,0,0,0,0,0,0
138595,85218,27498,1,1,1,418,2,151,,A0600,52,32.0000,2883.2000,0,01/09/1999,,1,10,N,0,1,997,0,,2000501437,200003,03/02/2000,S,0,1540,2,723,0,0
174790,808788,14628,1,0,1,418,1,151,,A0800,52,32.0000,3914.0000,0,09/08/2007,,8,10,N,0,1,36,0,,2007062436,200717,29/08/2007,S,0,11599,1,418,0,0
274548,145063,14957,1,1,1,418,2,143,,CA3100,14,48.0000,15298.0000,0,16/04/2009,,8,10,N,0,1,32,0,,2009037702,200910,15/05/2009,S,0,18376,1,418,0,0
122271,11461,57850,1,0,8,418,1,121,,D6600,96,40.0000,13961.3200,0,14/05/2001,,1,110,N,0,1,36,0,FISICOQUIMICA,2001071763,200117,05/09/2001,N,0,0,0,0,0,0
266192,843665,76183,1,1,1,418,2,151,,AA0200,50,40.0000,3215.0500,0,25/06/2008,,1,10,N,0,1,62,0,,2008053651,200815,31/07/2008,S,0,76109,1,723,0,0
215669,122685,14648,1,0,4,418,1,151,,ET1700,52,32.0000,5203.8500,0,01/01/2008,,1,10,N,0,1,997,0,,2008502531,200818,17/09/2008,S,0,77456,2,723,0,0
233013,162386,65687,3,1,12,418,2,141,,D9400,84,40.0000,8852.0000,3,01/10/2004,,8,10,N,0,1,28,0,"QUIMICA INORGANICA Y NUCLEAR Especialidad:""Química Organometálica activación de enlaces C-S y C-N",2005007727,200503,03/02/2005,S,0,3106,2,418,0,0
150355,124332,14915,1,0,21,418,1,161,,CF4700,08,32.0000,4424.0000,0,02/10/2002,,1,1,N,0,1,36,0,,2003000919,200301,07/01/2003,N,0,0,0,0,0,0
150356,124332,15009,1,0,21,418,1,165,,CF4700,08,16.0000,2212.0000,0,02/10/2002,,1,1,N,0,1,36,0,,2003000920,200301,07/01/2003,N,0,0,0,0,0,0
147124,114159,14499,3,1,11,418,2,151,,EQ5000,52,40.0000,4248.0000,0,01/09/2003,,1,10,N,0,1,997,0,,2004537727,200410,21/05/2004,S,0,48547,3,723,0,0
